anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur,einheit
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,50000,30.37,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,100000,60.74,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,200000,121.48,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,350000,212.59,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,500000,303.70,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1965,50000,28.20,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1965,100000,56.40,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1965,200000,112.80,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1965,350000,197.40,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1965,500000,282.00,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,50000,28.92,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,100000,57.85,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,200000,115.69,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,350000,202.46,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,500000,289.24,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,50000,27.48,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,100000,54.95,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,200000,109.91,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,350000,192.34,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1965,500000,274.77,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1965,50000,25.31,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1965,100000,50.62,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1965,200000,101.23,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1965,350000,177.16,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1965,500000,253.08,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,50000,19.74,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,100000,39.48,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,200000,78.95,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,350000,138.17,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,500000,197.38,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1970,50000,18.33,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1970,100000,36.66,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1970,200000,73.31,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1970,350000,128.30,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1970,500000,183.28,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,50000,18.80,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,100000,37.60,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,200000,75.19,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,350000,131.59,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,500000,187.98,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,50000,17.86,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,100000,35.72,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,200000,71.43,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,350000,125.01,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1970,500000,178.58,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1970,50000,16.45,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1970,100000,32.90,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1970,200000,65.79,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1970,350000,115.14,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1970,500000,164.49,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,50000,12.83,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,100000,25.66,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,200000,51.31,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,350000,89.80,eur_summe
Allianz,RiskUltra,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,500000,128.28,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1975,50000,11.91,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1975,100000,23.82,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1975,200000,47.65,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1975,350000,83.39,eur_summe
ERGO,Risiko Direkt,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":false}",1975,500000,119.12,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,50000,12.22,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,100000,24.44,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,200000,48.87,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,350000,85.52,eur_summe
HDI,EGO Risk,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,500000,122.18,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,50000,11.61,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,100000,23.21,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,200000,46.43,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,350000,81.25,eur_summe
Hannoversche,Risikoleben Premium,"{""laufzeit_jahre"":30,""gesundheitspruefung"":true,""raucher_unterschied"":true,""nachversicherung"":true}",1975,500000,116.07,eur_summe
CosmosDirekt,Basis,"{""laufzeit_jahre"":25,""gesundheitspruefung"":true,""raucher_unterschied"":false,""nachversicherung"":false}",1975,50000,10.69,eur_summe
