anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur,einheit
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,500,52.43,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1000,104.85,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1500,157.28,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,2000,209.71,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,3000,314.56,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1955,500,46.19,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1955,1000,92.37,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1955,1500,138.56,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1955,2000,184.74,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1955,3000,277.11,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1955,500,37.45,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1955,1000,74.90,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1955,1500,112.34,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1955,2000,149.79,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1955,3000,224.69,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,500,59.92,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1000,119.83,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1500,179.75,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,2000,239.67,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,3000,359.50,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,500,48.68,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1000,97.36,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,1500,146.05,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,2000,194.73,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1955,3000,292.09,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,500,43.09,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1000,86.18,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1500,129.27,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,2000,172.37,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,3000,258.55,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1960,500,37.96,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1960,1000,75.92,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1960,1500,113.88,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1960,2000,151.85,eur_monat
AXA,Pflege Schutz,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":false}",1960,3000,227.77,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1960,500,30.78,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1960,1000,61.56,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1960,1500,92.34,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1960,2000,123.12,eur_monat
DKV,PflegeBahr Tarif,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":false,""weltweite_leistung"":false,""foerderung_staatlich"":true}",1960,3000,184.68,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,500,49.25,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1000,98.49,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1500,147.74,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,2000,196.99,eur_monat
Continentale,PremiumPflege,"{""pflegegrad_ab"":1,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,3000,295.48,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,500,40.01,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1000,80.03,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,1500,120.04,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,2000,160.05,eur_monat
Gothaer,MediP,"{""pflegegrad_ab"":2,""einmalzahlung"":false,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1960,3000,240.08,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1965,500,35.42,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1965,1000,70.84,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1965,1500,106.25,eur_monat
Allianz,PflegetagegeldBest,"{""pflegegrad_ab"":2,""einmalzahlung"":true,""beitragsbefreiung_pflegefall"":true,""weltweite_leistung"":true}",1965,2000,141.67,eur_monat
