anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur,einheit
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,50000,3.67,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,100000,7.34,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,200000,14.68,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,300000,22.02,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,500000,36.69,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1955,50000,3.10,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1955,100000,6.20,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1955,200000,12.39,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1955,300000,18.59,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1955,500000,30.99,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,50000,4.24,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,100000,8.48,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,200000,16.96,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,300000,25.44,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,500000,42.40,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1955,50000,3.34,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1955,100000,6.69,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1955,200000,13.37,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1955,300000,20.06,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1955,500000,33.43,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,50000,3.91,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,100000,7.83,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,200000,15.66,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,300000,23.48,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1955,500000,39.14,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,50000,3.46,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,100000,6.91,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,200000,13.83,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,300000,20.74,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,500000,34.57,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1960,50000,2.92,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1960,100000,5.84,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1960,200000,11.68,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1960,300000,17.51,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1960,500000,29.19,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,50000,3.99,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,100000,7.99,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,200000,15.98,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,300000,23.97,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,500000,39.95,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1960,50000,3.15,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1960,100000,6.30,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1960,200000,12.60,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1960,300000,18.90,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1960,500000,31.50,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,50000,3.69,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,100000,7.37,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,200000,14.75,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,300000,22.12,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1960,500000,36.87,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,50000,3.26,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,100000,6.51,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,200000,13.03,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,300000,19.54,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,500000,32.57,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1965,50000,2.75,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1965,100000,5.50,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1965,200000,11.00,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1965,300000,16.50,eur_summe
AXA,Komfort Unfall,"{""progression"":225,""mitwirkung_krankheit"":true,""todesfall_summe"":true,""gliedertaxe"":""standard""}",1965,500000,27.50,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,50000,3.76,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,100000,7.53,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,200000,15.05,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,300000,22.58,eur_summe
ERGO,Unfallschutz Best,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,500000,37.63,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1965,50000,2.97,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1965,100000,5.93,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1965,200000,11.87,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1965,300000,17.80,eur_summe
Generali,VarioCARE,"{""progression"":350,""mitwirkung_krankheit"":true,""todesfall_summe"":false,""gliedertaxe"":""standard""}",1965,500000,29.67,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,50000,3.47,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,100000,6.95,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,200000,13.90,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,300000,20.84,eur_summe
HDI,AccidentExklusiv,"{""progression"":500,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1965,500000,34.74,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1970,50000,3.07,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1970,100000,6.14,eur_summe
Allianz,PrivatSchutz Plus,"{""progression"":350,""mitwirkung_krankheit"":false,""todesfall_summe"":true,""gliedertaxe"":""verbessert""}",1970,200000,12.27,eur_summe
